"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"03/07/2025","Payment","","Rochester Iron & Metal","","$0.00","$7,108.65","","Mar 7, 2025, 8:57 AM",
"03/04/2025","Invoice","3933","Rochester Iron & Metal","04/03/2025","$0.00","$4,196.61","GreenSpark #40","Apr 7, 2025, 7:56 AM",
"03/03/2025","Invoice","3928","Rochester Iron & Metal","04/02/2025","$0.00","$4,636.17","GreenSpark #38","Apr 7, 2025, 7:56 AM",
"02/28/2025","Payment","4316935","Rochester Iron & Metal","","$0.00","$10,812.83","","Feb 28, 2025, 7:25 AM",
"02/26/2025","Invoice","3920","Rochester Iron & Metal","03/28/2025","$0.00","$5,011.20","GreenSpark #36","Mar 28, 2025, 7:45 AM",
"02/24/2025","Invoice","3912","Rochester Iron & Metal","03/26/2025","$0.00","$4,276.80","GreenSpark #35","Mar 28, 2025, 7:45 AM",
"02/21/2025","Deposit","","Rochester Iron & Metal","","$0.00","$7,488.80","","Mar 11, 2025, 3:02 PM",
"02/21/2025","Payment","Batch 4293973","Rochester Iron & Metal","","$0.00","$7,488.80","","Feb 21, 2025, 7:26 AM",
"02/14/2025","Deposit","","Rochester Iron & Metal","","$0.00","$8,174.93","","Mar 11, 2025, 3:02 PM",
"02/14/2025","Payment","Batch 421771","Rochester Iron & Metal","","$0.00","$8,174.93","","Feb 14, 2025, 7:46 AM",
"02/13/2025","Invoice","3901","Rochester Iron & Metal","03/15/2025","$0.00","$4,877.55","GreenSpark #31","Mar 21, 2025, 7:19 AM",
"02/11/2025","Invoice","3891","Rochester Iron & Metal","03/13/2025","$0.00","$3,064.50","GreenSpark #30","Mar 14, 2025, 7:44 AM",
"02/10/2025","Invoice","3888","Rochester Iron & Metal","03/12/2025","$0.00","$4,332.59","Greenspark #29","Mar 14, 2025, 7:44 AM",
"02/07/2025","Invoice","3885","Rochester Iron & Metal","03/09/2025","$0.00","$5,128.65","GreenSpark #28","Mar 14, 2025, 7:44 AM",
"02/07/2025","Deposit","","Rochester Iron & Metal","","$0.00","$4,340.10","","Mar 11, 2025, 3:02 PM",
"02/07/2025","Payment","4248065","Rochester Iron & Metal","","$0.00","$4,340.10","","Feb 7, 2025, 7:32 AM",
"02/05/2025","Invoice","3878","Rochester Iron & Metal","03/07/2025","$0.00","$3,821.85","GreenSpark #26","Mar 7, 2025, 8:56 AM",
"01/31/2025","Invoice","3863","Rochester Iron & Metal","03/02/2025","$0.00","$3,286.80","Green Spark 25","Mar 7, 2025, 8:56 AM",
"01/31/2025","Invoice","3862","Rochester Iron & Metal","03/02/2025","$0.00","$3,383.30","GreenSpark #24","Feb 28, 2025, 7:24 AM",
"01/31/2025","Deposit","","Rochester Iron & Metal","","$0.00","$3,759.35","","Feb 5, 2025, 7:54 AM",
"01/31/2025","Payment","Batch 4228111","Rochester Iron & Metal","","$0.00","$3,759.35","","Jan 31, 2025, 7:31 AM",
"01/29/2025","Invoice","3857","Rochester Iron & Metal","02/28/2025","$0.00","$3,908.00","Greenspark #23","Feb 28, 2025, 7:24 AM",
"01/28/2025","Invoice","3853","Rochester Iron & Metal","02/27/2025","$0.00","$3,521.53","Greenspark #22","Feb 28, 2025, 7:24 AM",
"01/28/2025","Invoice","3851","Rochester Iron & Metal","02/27/2025","$0.00","$3,275.20","GreenSpark #19","Feb 21, 2025, 7:26 AM",
"01/24/2025","Deposit","","Rochester Iron & Metal","","$0.00","$10,091.81","","Feb 5, 2025, 7:54 AM",
"01/24/2025","Payment","","Rochester Iron & Metal","","$0.00","$10,091.81","","Jan 24, 2025, 8:00 AM",
"01/15/2025","Invoice","3834","Rochester Iron & Metal","02/14/2025","$0.00","$4,213.60","","Feb 21, 2025, 7:26 AM",
"01/10/2025","Deposit","","Rochester Iron & Metal","","$0.00","$3,101.70","","Feb 5, 2025, 7:54 AM",
"01/10/2025","Payment","","Rochester Iron & Metal","","$0.00","$3,101.70","","Jan 10, 2025, 11:15 AM",
"01/09/2025","Invoice","3824","Rochester Iron & Metal","02/08/2025","$0.00","$4,234.30","","Feb 14, 2025, 7:45 AM",
"01/08/2025","Invoice","3822","Rochester Iron & Metal","02/07/2025","$0.00","$3,940.63","","Feb 14, 2025, 7:45 AM",
"01/06/2025","Deposit","","Rochester Iron & Metal","","$0.00","$10,384.73","","Feb 5, 2025, 7:54 AM",
"01/03/2025","Payment","","Rochester Iron & Metal","","$0.00","$10,384.73","","Jan 3, 2025, 3:33 PM",
"01/03/2025","Invoice","3814","Rochester Iron & Metal","02/02/2025","$0.00","$4,340.10","","Feb 7, 2025, 7:29 AM",
"01/02/2025","Invoice","3812","Rochester Iron & Metal","02/01/2025","$0.00","$3,759.35","","Jan 31, 2025, 7:30 AM",
"12/27/2024","Deposit","","Rochester Iron & Metal","","$0.00","$16,139.02","","Jan 10, 2025, 11:52 AM",
"12/27/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$16,139.02","","Dec 27, 2024, 7:36 AM",
"12/20/2024","Invoice","3793","Rochester Iron & Metal","01/19/2025","$0.00","$3,399.11","","Jan 24, 2025, 7:59 AM",
"12/20/2024","Deposit","","Rochester Iron & Metal","","$0.00","$9,247.74","","Jan 10, 2025, 11:52 AM",
"12/20/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$9,247.74","","Dec 20, 2024, 9:40 AM",
"12/19/2024","Invoice","3790","Rochester Iron & Metal","01/18/2025","$0.00","$3,257.10","","Jan 24, 2025, 7:59 AM",
"12/13/2024","Invoice","3779","Rochester Iron & Metal","01/12/2025","$0.00","$3,435.60","","Jan 24, 2025, 7:59 AM",
"12/13/2024","Deposit","","Rochester Iron & Metal","","$0.00","$13,200.33","","Jan 10, 2025, 11:52 AM",
"12/13/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$13,200.33","","Dec 13, 2024, 7:42 AM",
"12/11/2024","Invoice","3775","Rochester Iron & Metal","01/10/2025","$0.00","$3,101.70","","Jan 10, 2025, 7:29 AM",
"12/06/2024","Deposit","","Rochester Iron & Metal","","$0.00","$10,863.05","","Jan 10, 2025, 11:52 AM",
"12/06/2024","Payment","P611431670 4053163","Rochester Iron & Metal","","$0.00","$10,863.05","","Dec 6, 2024, 8:08 AM",
"12/05/2024","Invoice","3755","Rochester Iron & Metal","01/04/2025","$0.00","$2,828.70","","Jan 3, 2025, 2:40 PM",
"12/04/2024","Invoice","3753","Rochester Iron & Metal","01/03/2025","$0.00","$4,038.53","","Jan 3, 2025, 2:40 PM",
"12/03/2024","Invoice","3750","Rochester Iron & Metal","01/02/2025","$0.00","$3,517.50","","Jan 3, 2025, 2:40 PM",
"11/29/2024","Deposit","","Rochester Iron & Metal","","$0.00","$11,926.44","","Dec 4, 2024, 10:28 AM",
"11/29/2024","Payment","","Rochester Iron & Metal","","$0.00","$11,926.44","","Dec 2, 2024, 7:28 AM",
"11/26/2024","Invoice","3734","Rochester Iron & Metal","12/26/2024","$0.00","$3,901.80","","Dec 27, 2024, 7:32 AM",
